Phrase,Total Gematria Value
וישלחהו יהוה אלהים מגן־עדן לעבד את־האדמה אשר לקח משם,2275
ויגרש את־האדם וישכן מקדם לגן־עדן את־הכרבים ואת להט החרב המתהפכת לשמר את־דרך עץ החיים,5469
והאדם ידע את־חוה אשתו ותהר ותלד את־קין ותאמר קניתי איש את־יהוה,4834
ותסף ללדת את־אחיו את־הבל ויהי־הבל רעה צאן וקין היה עבד אדמה,2670
ויהי מקץ ימים ויבא קין מפרי האדמה מנחה ליהוה,1084
והבל הביא גם־הוא מבכרות צאנו ומחלבהן וישע יהוה אל־הבל ואל־מנחתו,2093
ואל־קין ואל־מנחתו לא שעה ויחר לקין מאד ויפלו פניו,1881
ויאמר יהוה אל־קין למה חרה לך ולמה נפלו פניך,1219
הלוא אם־תיטיב שאת ואם לא תיטיב לפתח חטאת רבץ ואליך תשוקתו ואתה תמשל־בו,5421
ויאמר קין אל־הבל אחיו ויהי בהיותם בשדה ויקם קין אל־הבל אחיו ויהרגהו,1959
ויאמר יהוה אל־קין אי הבל אחיך ויאמר לא ידעתי השמר אחי אנכי,1988
ויאמר מה עשית קול דמי אחיך צעקים אלי מן־האדמה,1807
ועתה ארור אתה מן־האדמה אשר פצתה את־פיה לקחת את־דמי אחיך מידך,4117
כי תעבד את־האדמה לא־תסף תת־כחה לך נע ונד תהיה בארץ,3309
ויאמר קין אל־יהוה גדול עוני מנשא,1044
הן גרשת אתי היום מעל פני האדמה ומפניך אסתר והייתי נע ונד בארץ והיה כל־מצאי יהרגני,4041
ויאמר לו יהוה לכן כל־הרג קין שבעתים יקם וישם יהוה לקין אות לבלתי הכות־אתו כל־מצאו,4285
ויצא קין מלפני יהוה וישב בארץ־נוד קדמת־עדן,1842
וידע קין את־אשתו ותהר ותלד את־חנוך ויהי בנה עיר ויקרא שם העיר כשם בנו חנוך,4706
ויולד לחנוך את־עירד ועירד ילד את־מחויאל ומחייאל ילד את־מתושאל ומתושאל ילד את־למך,4330
ויקח־לו למך שתי נשים שם האחת עדה ושם השנית צלה,3429
ותלד עדה את־יבל הוא היה אבי ישב אהל ומקנה,1556
ושם אחיו יובל הוא היה אבי כל־תפש כנור ועוגב,1657
וצלה גם־הוא ילדה את־תובל קין לטש כל־חרש נחשת וברזל ואחות תובל־קין נעמה,4318
ויאמר למך לנשיו עדה וצלה שמען קולי נשי למך האזנה אמרתי כי איש הרגתי לפצעי וילד לחברתי,4667
כי שבעתים יקם־קין ולמך שבעים ושבעה,2063
וידע אדם עוד את־אשתו ותלד בן ותקרא את־שמו שת כי שת־לי אלהים זרע אחר תחת הבל כי הרגו קין,6560
ולשת גם־הוא ילד־בן ויקרא את־שמו אנוש אז הוחל לקרא בשם יהוה,3064
זה ספר תולדת אדם ביום ברא אלהים אדם בדמות אלהים עשה אתו,2949
זכר ונקבה בראם ויברך אתם ויקרא את־שמם אדם ביום הבראם,2761
ויחי אדם שלשים ומאת שנה ויולד בדמותו כצלמו ויקרא את־שמו שת,4025
ויהיו ימי־אדם אחרי הולידו את־שת שמנה מאת שנה ויולד בנים ובנות,3336
ויהיו כל־ימי אדם אשר־חי תשע מאות שנה ושלשים שנה וימת,3780
ויחי־שת חמש שנים ומאת שנה ויולד את־אנוש,3098
ויחי־שת אחרי הולידו את־אנוש שבע שנים ושמנה מאות שנה ויולד בנים ובנות,4369
ויהיו כל־ימי־שת שתים עשרה שנה ותשע מאות שנה וימת,4561
ויחי אנוש תשעים שנה ויולד את־קינן,2233
ויחי אנוש אחרי הולידו את־קינן חמש עשרה שנה ושמנה מאות שנה ויולד בנים ובנות,4385
ויהיו כל־ימי אנוש חמש שנים ותשע מאות שנה וימת,3286
ויחי קינן שבעים שנה ויולד את־מהללאל,1614
ויחי קינן אחרי הולידו את־מהללאל ארבעים שנה ושמנה מאות שנה ויולד בנים ובנות,3564
ויהיו כל־ימי קינן עשר שנים ותשע מאות שנה וימת,3361
ויחי מהללאל חמש שנים וששים שנה ויולד את־ירד,2600
ויחי מהללאל אחרי הולידו את־ירד שלשים שנה ושמנה מאות שנה ויולד בנים ובנות,3925
ויהיו כל־ימי מהללאל חמש ותשעים שנה ושמנה מאות שנה וימת,3471
ויחי־ירד שתים וששים שנה ומאת שנה ויולד את־חנוך,3352
ויחי־ירד אחרי הולידו את־חנוך שמנה מאות שנה ויולד בנים ובנות,2832
ויהיו כל־ימי־ירד שתים וששים שנה ותשע מאות שנה וימת,4156
ויחי חנוך חמש וששים שנה ויולד את־מתושלח,2718
ויתהלך חנוך את־האלהים אחרי הולידו את־מתושלח שלש מאות שנה ויולד בנים ובנות,4566
ויהי כל־ימי חנוך חמש וששים שנה ושלש מאות שנה,3022
ויתהלך חנוך את־האלהים ואיננו כי־לקח אתו אלהים,1831
ויחי מתושלח שבע ושמנים שנה ומאת שנה ויולד את־למך,3340
ויחי מתושלח אחרי הולידו את־למך שתים ושמונים שנה ושבע מאות שנה ויולד בנים ובנות,4948
ויהיו כל־ימי מתושלח תשע וששים שנה ותשע מאות שנה וימת,4746
ויחי־למך שתים ושמנים שנה ומאת שנה ויולד בן,2585
ויקרא את־שמו נח לאמר זה  ינחמנו ממעשנו ומעצבון ידינו מן־האדמה אשר אררה יהוה,3497
ויחי־למך אחרי הולידו את־נח חמש ותשעים שנה וחמש מאת שנה ויולד בנים ובנות,4164
ויהי כל־ימי־למך שבע ושבעים שנה ושבע מאות שנה וימת,3022
ויהי־נח בן־חמש מאות שנה ויולד נח את־שם את־חם ואת־יפת,3492
ויהי כי־החל האדם לרב על־פני האדמה ובנות ילדו להם,1270
ויראו בני־האלהים את־בנות האדם כי טבת הנה ויקחו להם נשים מכל אשר בחרו,3198
ויאמר יהוה לא־ידון רוחי באדם לעלם בשגם הוא בשר והיו ימיו מאה ועשרים שנה,2804
הנפלים היו בארץ בימים ההם וגם אחרי־כן אשר יבאו בני האלהים אל־בנות האדם וילדו להם המה הגברים אשר מעולם אנשי השם,4065
וירא יהוה כי רבה רעת האדם בארץ וכל־יצר מחשבת לבו רק רע כל־היום,3318
וינחם יהוה כי־עשה את־האדם בארץ ויתעצב אל־לבו,1936
ויאמר יהוה אמחה את־האדם אשר־בראתי מעל פני האדמה מאדם עד־בהמה עד־רמש ועד־עוף השמים כי נחמתי כי עשיתם,5081
ונח מצא חן בעיני יהוה,421
אלה תולדת נח נח איש צדיק תמים היה בדרתיו את־האלהים התהלך־נח,3649
ויולד נח שלשה בנים את־שם את־חם ואת־יפת,2938
ותשחת הארץ לפני האלהים ותמלא הארץ חמס,2552
וירא אלהים את־הארץ והנה נשחתה כי־השחית כל־בשר את־דרכו על־הארץ,4161
ויאמר אלהים לנח קץ כל־בשר בא לפני כי־מלאה הארץ חמס מפניהם והנני משחיתם את־הארץ,3697
עשה לך תבת עצי־גפר קנים תעשה את־התבה וכפרת אתה מבית ומחוץ בכפר,5484
וזה אשר תעשה אתה שלש מאות אמה ארך התבה חמשים אמה רחבה ושלשים אמה קומתה,5398
צהר ׀ תעשה  לתבה ואל־אמה תכלנה  מלמעלה ופתח התבה בצדה תשים תחתים שנים ושלשים תעשה,6786
ואני הנני מביא את־המבול מים על־הארץ לשחת כל־בשר אשר־בו רוח חיים מתחת השמים כל אשר־בארץ יגוע,5462
והקמתי את־בריתי אתך ובאת אל־התבה אתה ובניך ואשתך ונשי־בניך אתך,4947
ומכל־החי מכל־בשר שנים מכל תביא אל־התבה להחית אתך זכר ונקבה יהיו,3352
מהעוף למינהו ומן־הבהמה למינה מכל רמש האדמה למינהו שנים מכל יבאו אליך להחיות,2485
ואתה קח־לך מכל־מאכל אשר יאכל ואספת אליך והיה לך ולהם לאכלה,2164
ויעש נח ככל אשר צוה אתו אלהים  כן עשה,2054
ויאמר יהוה לנח בא־אתה וכל־ביתך אל־התבה כי־אתך ראיתי צדיק לפני בדור הזה,3386
מכל ׀ הבהמה הטהורה תקח־לך שבעה שבעה איש ואשתו ומן־הבהמה אשר לא טהרה הוא שנים איש ואשתו,5053
גם מעוף השמים שבעה שבעה זכר ונקבה לחיות זרע על־פני כל־הארץ,3095
כי לימים עוד שבעה אנכי ממטיר על־הארץ ארבעים יום וארבעים לילה ומחיתי את־כל־היקום אשר עשיתי מעל פני האדמה,4888
ויעש נח ככל אשר־צוהו יהוה,1148
ונח בן־שש מאות שנה והמבול היה מים על־הארץ,2113
ויבא נח ובניו ואשתו ונשי־בניו אתו אל־התבה מפני מי המבול,2461
מן־הבהמה הטהורה ומן־הבהמה אשר איננה טהרה ומן־העוף וכל אשר־רמש על־האדמה,2875
שנים שנים באו אל־נח אל־התבה זכר ונקבה כאשר צוה אלהים את־נח,2898
ויהי לשבעת הימים ומי המבול היו על־הארץ,1494
בשנת שש־מאות שנה לחיי־נח בחדש השני בשבעה־עשר יום לחדש ביום הזה נבקעו כל־מעינת תהום רבה וארבת השמים נפתחו,7425
ויהי הגשם על־הארץ ארבעים יום וארבעים לילה,1558
בעצם היום הזה בא נח ושם־וחם ויפת בני־נח ואשת נח ושלשת נשי־בניו אתם אל־התבה,4470
המה וכל־החיה למינה וכל־הבהמה למינה וכל־הרמש הרמש על־הארץ למינהו וכל־העוף למינהו כל צפור כל־כנף,3184
ויבאו אל־נח אל־התבה שנים שנים מכל־הבשר אשר־בו רוח חיים,2745
והבאים זכר ונקבה מכל־בשר באו כאשר צוה אתו אלהים ויסגר יהוה בעדו,2557
ויהי המבול ארבעים יום על־הארץ וירבו המים וישאו את־התבה ותרם מעל הארץ,3426
ויגברו המים וירבו מאד על־הארץ ותלך התבה על־פני המים,2190
והמים גברו  מאד מאד על־הארץ ויכסו כל־ההרים הגבהים אשר־תחת כל־השמים,3029
חמש עשרה אמה מלמעלה גברו המים ויכסו ההרים,1852
ויגוע כל־בשר ׀ הרמש על־הארץ בעוף ובבהמה ובחיה ובכל־השרץ השרץ על־הארץ וכל האדם,3587
כל אשר נשמת־רוח חיים באפיו מכל אשר בחרבה מתו,2976
וימח את־כל־היקום ׀ אשר ׀ על־פני האדמה מאדם עד־בהמה עד־רמש ועד־עוף השמים וימחו מן־הארץ וישאר  אך־נח ואשר אתו בתבה,5303
ויגברו המים על־הארץ חמשים ומאת יום,1619
ויזכר אלהים את־נח ואת כל־החיה ואת־כל־הבהמה אשר אתו בתבה ויעבר אלהים רוח על־הארץ וישכו המים,4525
ויסכרו מעינת תהום וארבת השמים ויכלא הגשם מן־השמים,3227
וישבו המים מעל הארץ הלוך ושוב ויחסרו המים מקצה חמשים ומאת יום,2751
ותנח התבה בחדש השביעי בשבעה־עשר יום לחדש על הרי אררט,3659
והמים היו הלוך וחסור עד החדש העשירי בעשירי באחד לחדש נראו ראשי ההרים,3426
ויהי מקץ ארבעים יום ויפתח נח את־חלון התבה אשר עשה,2985
וישלח את־הערב ויצא יצוא ושוב עד־יבשת המים מעל הארץ,2877
וישלח את־היונה מאתו לראות הקלו המים מעל פני האדמה,2486
ולא־מצאה היונה מנוח לכף־רגלה ותשב אליו אל־התבה כי־מים על־פני כל־הארץ וישלח ידו ויקחה ויבא אתה אליו אל־התבה,4043
ויחל עוד שבעת ימים אחרים ויסף שלח את־היונה מן־התבה,2738
ותבא אליו היונה לעת ערב והנה עלה־זית טרף בפיה וידע נח כי־קלו המים מעל הארץ,3123
וייחל עוד שבעת ימים אחרים וישלח את־היונה ולא־יספה שוב־אליו עוד,2733
ויהי באחת ושש־מאות שנה בראשון באחד לחדש חרבו המים מעל הארץ ויסר נח את־מכסה התבה וירא והנה חרבו פני האדמה,5479
ובחדש השני בשבעה ועשרים יום לחדש יבשה הארץ,2701
וידבר אלהים אל־נח לאמר,668
צא מן־התבה אתה ואשתך ובניך ונשי־בניך אתך,2683
כל־החיה אשר־אתך מכל־בשר בעוף ובבהמה ובכל־הרמש הרמש על־הארץ הוצא כ היצא ק אתך ושרצו בארץ ופרו ורבו על־הארץ,5900
ויצא־נח ובניו ואשתו ונשי־בניו אתו,1793
כל־החיה כל־הרמש וכל־העוף כל רומש על־הארץ למשפחתיהם יצאו מן־התבה,3404
ויבן נח מזבח ליהוה ויקח מכל ׀ הבהמה הטהורה ומכל העוף הטהר ויעל עלת במזבח,1891
וירח יהוה את־ריח הניחח ויאמר יהוה אל־לבו לא־אסף לקלל עוד את־האדמה בעבור האדם כי יצר לב האדם רע מנעריו ולא־אסף עוד להכות את־כל־חי כאשר עשיתי,6087
עד כל־ימי הארץ זרע וקציר וקר וחם וקיץ וחרף ויום ולילה לא ישבתו,2915
ויברך אלהים את־נח ואת־בניו ויאמר להם פרו ורבו ומלאו את־הארץ,2870
ומוראכם וחתכם יהיה על כל־חית הארץ ועל כל־עוף השמים בכל אשר תרמש האדמה ובכל־דגי הים בידכם נתנו,4648
כל־רמש אשר הוא־חי לכם יהיה לאכלה כירק עשב נתתי לכם את־כל,3430
אך־בשר בנפשו דמו לא תאכלו,1499
ואך את־דמכם לנפשתיכם אדרש מיד כל־חיה אדרשנו ומיד האדם מיד איש אחיו אדרש את־נפש האדם,4541
שפך דם האדם באדם דמו ישפך כי בצלם אלהים עשה את־האדם,2105
ואתם פרו ורבו שרצו בארץ ורבו־בה,2057
ויאמר אלהים אל־נח ואל־בניו אתו לאמר,1215
ואני הנני מקים את־בריתי אתכם ואת־זרעכם אחריכם,2879
ואת כל־נפש החיה אשר אתכם בעוף בבהמה ובכל־חית הארץ אתכם מכל יצאי התבה לכל חית הארץ,4729
והקמתי את־בריתי אתכם ולא־יכרת כל־בשר עוד ממי המבול ולא־יהיה עוד מבול לשחת הארץ,4776
ויאמר אלהים זאת אות־הברית אשר־אני נתן ביני וביניכם ובין כל־נפש חיה אשר אתכם לדרת עולם,5360
את־קשתי נתתי בענן והיתה לאות ברית ביני ובין הארץ,4154
והיה בענני ענן על־הארץ ונראתה הקשת בענן,2413
וזכרתי את־בריתי אשר ביני וביניכם ובין כל־נפש חיה בכל־בשר ולא־יהיה עוד המים למבול לשחת כל־בשר,5142
והיתה הקשת בענן וראיתיה לזכר ברית עולם בין אלהים ובין כל־נפש חיה בכל־בשר אשר על־הארץ,5220
ויאמר אלהים אל־נח זאת אות־הברית אשר הקמתי ביני ובין כל־בשר אשר על־הארץ,4509
ויהיו בני־נח היצאים מן־התבה שם וחם ויפת וחם הוא אבי כנען,1974
שלשה אלה בני־נח ומאלה נפצה כל־הארץ,1444
ויחל נח איש האדמה ויטע כרם,833
וישת מן־היין וישכר ויתגל בתוך אהלה ,2335
וירא חם אבי כנען את ערות אביו ויגד לשני־אחיו בחוץ,2108
ויקח שם ויפת את־השמלה וישימו  על־שכם שניהם וילכו אחרנית ויכסו את ערות אביהם ופניהם אחרנית וערות אביהם לא ראו,6794
וייקץ נח מיינו וידע את אשר־עשה־לו בנו הקטן,2015
ויאמר ארור כנען עבד עבדים יהיה לאחיו,1141
ויאמר ברוך יהוה אלהי שם ויהי כנען עבד למו,1270
יפת אלהים ליפת וישכן באהלי־שם ויהי כנען עבד למו,2243
ויחי־נח אחר המבול שלש מאות שנה וחמשים שנה,2575
ויהיו כל־ימי־נח תשע מאות שנה וחמשים שנה וימת,2992
ואלה תולדת בני־נח שם חם ויפת ויולדו להם בנים אחר המבול,2417
בני יפת גמר ומגוג ומדי ויון ותבל ומשך ותירס,2465
ובני גמר אשכנז וריפת ותגרמה,2039
ובני יון אלישה ותרשיש כתים ודדנים,2280
מאלה נפרדו איי הגוים בארצתם איש ללשנו למשפחתם בגויהם,2925
ובני חם כוש ומצרים ופוט וכנען,1125
ובני כוש סבא וחוילה וסבתה ורעמה וסבתכא ובני רעמה שבא ודדן,2555
וכוש ילד את־נמרד הוא החל להיות גבר בארץ,2075
הוא־היה גבר־ציד לפני יהוה על־כן יאמר כנמרד גבור ציד לפני יהוה,1783
ותהי ראשית ממלכתו בבל וארך ואכד וכלנה בארץ שנער,3184
מן־הארץ ההוא יצא אשור ויבן את־נינוה ואת־רחבת עיר ואת־כלח,3363
ואת־רסן בין נינוה ובין כלח הוא העיר הגדלה,1370
ומצרים ילד את־לודים ואת־ענמים ואת־להבים ואת־נפתחים,3027
ואת־פתרסים ואת־כסלחים אשר יצאו משם פלשתים ואת־כפתרים,4777
וכנען ילד את־צידן בכרו ואת־חת,1838
ואת־היבוסי ואת־האמרי ואת הגרגשי,2091
ואת־החוי ואת־הערקי ואת־הסיני,1770
ואת־הארודי ואת־הצמרי ואת־החמתי ואחר נפצו משפחות הכנעני,3735
ויהי גבול הכנעני מצידן באכה גררה עד־עזה באכה סדמה ועמרה ואדמה וצבים עד־לשע,2199
אלה בני־חם למשפחתם ללשנתם בארצתם בגויהם,2693
ולשם ילד גם־הוא אבי כל־בני־עבר אחי יפת הגדול,1429
בני שם עילם ואשור וארפכשד ולוד וארם,1969
ובני ארם עוץ וחול וגתר ומש,1480
וארפכשד ילד את־שלח ושלח ילד את־עבר,2455
ולעבר ילד שני בנים שם האחד פלג כי בימיו נפלגה הארץ ושם אחיו יקטן,2387
ויקטן ילד את־אלמודד ואת־שלף ואת־חצרמות ואת־ירח,3298
ואת־הדורם ואת־אוזל ואת־דקלה,1659
ואת־עובל ואת־אבימאל ואת־שבא,1716
ואת־אופר ואת־חוילה ואת־יובב כל־אלה בני יקטן,1904
ויהי מושבם ממשא באכה ספרה הר הקדם,1527
אלה בני־שם למשפחתם ללשנתם בארצתם לגויהם,3013
אלה משפחת בני־נח לתולדתם בגויהם ומאלה נפרדו הגוים בארץ אחר המבול,3031
ויהי כל־הארץ שפה אחת ודברים אחדים,1496
ויהי בנסעם מקדם וימצאו בקעה בארץ שנער וישבו שם,2344
ויאמרו איש אל־רעהו הבה נלבנה לבנים ונשרפה לשרפה ותהי להם הלבנה לאבן והחמר היה להם לחמר,3726
ויאמרו הבה ׀ נבנה־לנו עיר ומגדל וראשו בשמים ונעשה־לנו שם פן־נפוץ על־פני כל־הארץ,3535
וירד יהוה לראת את־העיר ואת־המגדל אשר בנו בני האדם,2723
ויאמר יהוה הן עם אחד ושפה אחת לכלם וזה החלם לעשות ועתה לא־יבצר מהם כל אשר יזמו לעשות,4607
הבה נרדה ונבלה שם שפתם אשר לא ישמעו איש שפת רעהו,3854
ויפץ יהוה אתם משם על־פני כל־הארץ ויחדלו לבנת העיר,2450
על־כן קרא שמה בבל כי־שם בלל יהוה שפת כל־הארץ ומשם הפיצם יהוה על־פני כל־הארץ,3657
אלה תולדת שם ם בן־מאת שנה ויולד את־ארפכשד שנתים אחר המבול,4258
ויחי־שם אחרי הולידו את־ארפכשד חמש מאות שנה ויולד בנים ובנות,3432
וארפכשד חי חמש ושלשים שנה ויולד את־שלח,2813
ויחי ארפכשד אחרי הולידו את־שלח שלש שנים וארבע מאות שנה ויולד בנים ובנות,4391
ושלח חי שלשים שנה ויולד את־עבר,2126
ויחי־שלח אחרי הולידו את־עבר שלש שנים וארבע מאות שנה ויולד בנים ובנות,4058
ויחי־עבר ארבע ושלשים שנה ויולד את־פלג,2190
ויחי־עבר אחרי הולידו את־פלג שלשים שנה וארבע מאות שנה ויולד בנים ובנות,3838
ויחי־פלג שלשים שנה ויולד את־רעו,1915
ויחי־פלג אחרי הולידו את־רעו תשע שנים ומאתים שנה ויולד בנים ובנות,3748
ויחי רעו שתים ושלשים שנה ויולד את־שרוג,3067
ויחי רעו אחרי הולידו את־שרוג שבע שנים ומאתים שנה ויולד בנים ובנות,3746
ויחי שרוג שלשים שנה ויולד את־נחור,2299
